"AUTOTROPH_FLAGELLATE" "BACTERIA" "DETRITUS" "DIATOM" "DISSOLVED_ORGANIC_MATTER" "HETEROTROPH_FLAGELLATE" "MIXOTROPH_FLAGELLATE" "PHYTOPLANKTON" "PROTOZOOPLANKTON" "ACARTIA_SPP" "BOSMINA_SPP" "CYCLOPS_SP" "EVADNE_SP" "FRITILLARIA_BOREALIS" "KERATELLA_SP" "PLEOPSIS_POLYPHEMOIDES" "PSEUDOCALANUS_SP" "TEMORA_LONGICORNIS" "ASTARTE_SP" "BYLGIDES_SARSI" "HALICRYPTUS_SPINULOSUS" "MONOPOREIA_AFFINIS" "MYSIS_SPP" "MYTILUS_EDULIS" "NEMERTINI" "PONTOPOREIA_FEMORATA" "PRIAPULUS_CAUDATUS" "SADURIA_ENTOMON" "TEREBELLIDES_STROEMI" "COREGONUS_ALBULA" "ENCHELYOPUS_CIMBRIUS" "GADUS_MORHUA" "HYPEROPLUS_LANCEOLATUS" "MERLANGIUS_MERLANGUS" "MYOXOCEPHALUS_SCORPIUS" "OSMERUS_EPERLANUS" "PLEURONECTES_PLATESSA" "POMATOSCHISTUS_SPP" "SALMO_SALAR" "SCOMBER_SCOMBRUS" "SCOPHTHALMUS_MAXIMUS" "SPRATTUS_SPRATTUS" "TRACHURUS_TRACHURUS"
"AUTOTROPH_FLAGELLATE" 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BACTERIA" 0 0 0 0 0 1 1 0 1 1 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DETRITUS" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DIATOM" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DISSOLVED_ORGANIC_MATTER" 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HETEROTROPH_FLAGELLATE" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MIXOTROPH_FLAGELLATE" 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PHYTOPLANKTON" 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1
"PROTOZOOPLANKTON" 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACARTIA_SPP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1
