"AUTOTROPH_FLAGELLATE" "BACTERIA" "DETRITUS" "DIATOM" "DISSOLVED_ORGANIC_MATTER" "HETEROTROPH_FLAGELLATE" "MIXOTROPH_FLAGELLATE" "PHYTOPLANKTON" "PROTOZOOPLANKTON" "ACARTIA_SPP" "BOSMINA_SPP" "DAPHNIA_SP" "EURYTEMORA_AFFINIS" "EVADNE_SP" "FRITILLARIA_BOREALIS" "LIMNOCALANUS_MACRURUS" "PLEOPSIS_POLYPHEMOIDES" "PODON_SP" "PSEUDOCALANUS_SP" "SYNCHAETA_SP" "ASTARTE_SP" "MYTILUS_EDULIS" "NEMERTINI" "PONTOPOREIA_FEMORATA" "TEREBELLIDES_STROEMI" "COREGONUS_ALBULA" "COREGONUS_LAVARETUS" "LUMPENUS_LAMPRETAEFORMIS" "PLEURONECTES_PLATESSA" "POMATOSCHISTUS_SPP" "SALMO_SALAR" "SPRATTUS_SPRATTUS" "TRACHURUS_TRACHURUS"
"AUTOTROPH_FLAGELLATE" 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"BACTERIA" 0 0 0 0 0 1 1 0 1 1 1 1 1 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"DETRITUS" 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0
"DIATOM" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0
"DISSOLVED_ORGANIC_MATTER" 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HETEROTROPH_FLAGELLATE" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"MIXOTROPH_FLAGELLATE" 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"PHYTOPLANKTON" 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 1 0 0 0 0 1 1
"PROTOZOOPLANKTON" 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACARTIA_SPP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1
"BOSMINA_SPP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0
"DAPHNIA_SP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"EURYTEMORA_AFFINIS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0
