	TS	FG_name	FG_number
1	DETRITUS	Non-living	1
2	AUTOTROPH_FLAGELLATE	Basal	2
3	BACTERIA	Basal	2
4	DIATOM	Basal	2
5	DISSOLVED_ORGANIC_MATTER	Basal	2
6	HETEROTROPH_FLAGELLATE	Basal	2
7	MIXOTROPH_FLAGELLATE	Basal	2
8	PHYTOPLANKTON	Basal	2
9	PROTOZOOPLANKTON	Basal	2
10	ACARTIA_SPP	Zooplankton	3
11	BOSMINA_SPP	Zooplankton	3
12	CENTROPAGES_HAMATUS	Zooplankton	3
13	CYCLOPS_SP	Zooplankton	3
14	DAPHNIA_SP	Zooplankton	3
15	EURYTEMORA_AFFINIS	Zooplankton	3
16	EVADNE_SP	Zooplankton	3
17	FRITILLARIA_BOREALIS	Zooplankton	3
18	KERATELLA_SP	Zooplankton	3
19	LIMNOCALANUS_MACRURUS	Zooplankton	3
20	PLEOPSIS_POLYPHEMOIDES	Zooplankton	3
21	PODON_SP	Zooplankton	3
22	PSEUDOCALANUS_SPP	Zooplankton	3
23	SYNCHAETA_SP	Zooplankton	3
24	TEMORA_LONGICORNIS	Zooplankton	3
25	AMPHARETE_SP	Benthos	4
26	ASTARTE_SP	Benthos	4
27	BYLGIDES_SARSI	Benthos	4
28	CAPITELLA_CAPITATA	Benthos	4
29	DIASTYLIS_RATHKEI	Benthos	4
30	HALICRYPTUS_SPINULOSUS	Benthos	4
31	LIMECOLA_BALTHICA	Benthos	4
32	MARENZELLERIA_SP	Benthos	4
33	MONOPOREIA_AFFINIS	Benthos	4
34	MYSIS_SPP	Benthos	4
35	MYTILUS_EDULIS	Benthos	4
36	NEMERTINI	Benthos	4
37	PONTOPOREIA_FEMORATA	Benthos	4
38	PRIAPULUS_CAUDATUS	Benthos	4
39	PYGOSPIO_ELEGANS	Benthos	4
40	SADURIA_ENTOMON	Benthos	4
41	SCOLOPLOS_ARMIGER	Benthos	4
42	TEREBELLIDES_STROEMI	Benthos	4
43	ALOSA_FALLAX	Fish	5
44	CLUPEA_HARENGUS	Fish	5
45	COREGONUS_ALBULA	Fish	5
46	COREGONUS_LAVARETUS	Fish	5
47	CYCLOPTERUS_LUMPUS	Fish	5
48	ENCHELYOPUS_CIMBRIUS	Fish	5
49	GADUS_MORHUA	Fish	5
50	GASTEROSTEUS_ACULEATUS	Fish	5
51	LUMPENUS_LAMPRETAEFORMIS	Fish	5
52	HYPEROPLUS_LANCEOLATUS	Fish	5
53	LIMANDA_LIMANDA	Fish	5
54	MERLANGIUS_MERLANGUS	Fish	5
55	MYOXOCEPHALUS_QUADRICORNIS	Fish	5
56	MYOXOCEPHALUS_SCORPIUS	Fish	5
57	OSMERUS_EPERLANUS	Fish	5
58	PLATICHTHYS_FLESUS	Fish	5
59	PLEURONECTES_PLATESSA	Fish	5
60	POMATOSCHISTUS_SPP	Fish	5
61	SALMO_SALAR	Fish	5
62	SCOMBER_SCOMBRUS	Fish	5
63	SCOPHTHALMUS_MAXIMUS	Fish	5
64	SPRATTUS_SPRATTUS	Fish	5
65	TRACHURUS_TRACHURUS	Fish	5
66	TRISOPTERUS_MINUTUS	Fish	5
67	ZOARCES_VIVIPARUS	Fish	5
68	ALCA_TORDA	Sea_birds	6
69	CLANGULA_HYEMALIS	Sea_birds	6
70	LARUS_SPP	Sea_birds	6
71	MERGUS_SPP	Sea_birds	6
72	PHALACROCORAX_CARBO	Sea_birds	6
73	SOMATERA_MOLLISSIMA	Sea_birds	6
74	URIA_AALGE	Sea_birds	6
75	HALICHOERUS_GRYPUS	Marine_mammals	7
76	PUSA_HISPIDA	Marine_mammals	7
77	PHOCA_VITULINA	Marine_mammals	7
