"AUTOTROPH_FLAGELLATE" "BACTERIA" "DETRITUS" "DIATOM" "DISSOLVED_ORGANIC_MATTER" "HETEROTROPH_FLAGELLATE" "MIXOTROPH_FLAGELLATE" "PHYTOPLANKTON" "PROTOZOOPLANKTON" "ACARTIA_SPP" "BOSMINA_SPP" "CENTROPAGES_HAMATUS" "CYCLOPS_SP" "DAPHNIA_SP" "EURYTEMORA_AFFINIS" "EVADNE_SP" "FRITILLARIA_BOREALIS" "KERATELLA_SP" "LIMNOCALANUS_MACRURUS" "PLEOPSIS_POLYPHEMOIDES" "PODON_SP" "PSEUDOCALANUS_SP" "SYNCHAETA_SP" "TEMORA_LONGICORNIS" "AMPHARETE_SP" "ASTARTE_SP" "BYLGIDES_SARSI" "CAPITELLA_CAPITATA" "DIASTYLIS_RATHKEI" "HALICRYPTUS_SPINULOSUS" "LIMECOLA_BALTHICA" "MARENZELLERIA_SP" "MONOPOREIA_AFFINIS" "MYSIS_SPP" "MYTILUS_EDULIS" "NEMERTINI" "PONTOPOREIA_FEMORATA" "PRIAPULUS_CAUDATUS" "PYGOSPIO_ELEGANS" "SADURIA_ENTOMON" "SCOLOPLOS_ARMIGER" "TEREBELLIDES_STROEMI" "ALOSA_FALLAX" "CLUPEA_HARENGUS" "COREGONUS_ALBULA" "COREGONUS_LAVARETUS" "CYCLOPTERUS_LUMPUS" "ENCHELYOPUS_CIMBRIUS" "GADUS_MORHUA" "GASTEROSTEUS_ACULEATUS" "LUMPENUS_LAMPRETAEFORMIS" "HYPEROPLUS_LANCEOLATUS" "LIMANDA_LIMANDA" "MERLANGIUS_MERLANGUS" "MYOXOCEPHALUS_QUADRICORNIS" "MYOXOCEPHALUS_SCORPIUS" "OSMERUS_EPERLANUS" "PLATICHTHYS_FLESUS" "PLEURONECTES_PLATESSA" "POMATOSCHISTUS_SPP" "SALMO_SALAR" "SCOMBER_SCOMBRUS" "SCOPHTHALMUS_MAXIMUS" "SPRATTUS_SPRATTUS" "TRACHURUS_TRACHURUS" "TRISOPTERUS_MINUTUS" "ZOARCES_VIVIPARUS" "ALCA_TORDA" "CLANGULA_HYEMALIS" "LARUS_SPP" "MERGUS_SPP" "PHALACROCORAX_CARBO" "SOMATERIA_MOLLISSIMA" "URIA_AALGE" "HALICHOERUS_GRYPUS" "PUSA_HISPIDA" "PHOCA_VITULINA"
"AUTOTROPH_FLAGELLATE" 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BACTERIA" 0 0 0 0 0 1 1 0 1 1 1 0 0 1 1 1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DETRITUS" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DIATOM" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 1 1 0 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DISSOLVED_ORGANIC_MATTER" 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HETEROTROPH_FLAGELLATE" 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MIXOTROPH_FLAGELLATE" 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PHYTOPLANKTON" 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"PROTOZOOPLANKTON" 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACARTIA_SPP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
