	PREDATOR	PREY
1	ABRAMIS_BRAMA	MARENZELLERIA_SP
2	ABRAMIS_BRAMA	OLIGOCHAETA
3	ABRAMIS_BRAMA	CHIRONOMIDAE
4	ABRAMIS_BRAMA	CYCLOPS_SP
5	ABRAMIS_BRAMA	BOSMINA_LONGIROSTRIS
6	ABRAMIS_BRAMA	ACARTIA_SPP
7	ABRAMIS_BRAMA	BOSMINA_SPP
8	ABRAMIS_BRAMA	DETRITUS
9	ABRAMIS_BRAMA	EURYTEMORA_AFFINIS
10	ABRAMIS_BRAMA	KERATELLA_SP
11	ABRAMIS_BRAMA	MARENZELLERIA_SP
12	ABRAMIS_BRAMA	MYSIS_SPP
13	ABRAMIS_BRAMA	PODON_SP
14	ABRAMIS_BRAMA	PSEUDOCALANUS_SPP
15	ABRAMIS_BRAMA	SYNCHAETA_SPP
16	ABRAMIS_BRAMA	TEMORA_LONGICORNIS
17	ACARTIA_SPP	SYNCHAETA_SP
18	ACARTIA_SPP	ROTIFERA_INDET
19	ACARTIA_SPP	BACTERIA
20	ACARTIA_SPP	DIATOM
21	ACARTIA_SPP	MIXOTROPH_FLAGELLATE
22	ACARTIA_SPP	AUTOTHROPH_FLAGELLATE
23	ACARTIA_SPP	PROTOZOOPLANKTON
24	ACARTIA_SPP	PHYTOPLANKTON
25	ALBURNUS_ALBURNUS	DIPTERA
26	ALBURNUS_ALBURNUS	DETRITUS
27	ALBURNUS_ALBURNUS	CHIRONOMIDAE
28	ALBURNUS_ALBURNUS	CLADOCERA
29	ALBURNUS_ALBURNUS	COPEPODA
30	ALCA_TORDA	CLUPEA_HARENGUS
31	ALCA_TORDA	GASTEROSTEUS_ACULEATUS
32	ALCA_TORDA	SPRATTUS_SPRATTUS
33	ALCA_TORDA	AMMODYTES_TOBIANUS
34	AMMODYTES_TOBIANUS	CYCLOPS_SP
35	AMMODYTES_TOBIANUS	POLYCHAETA
36	AMMODYTES_TOBIANUS	JAERA_ALBIFRONS
37	AMMODYTES_TOBIANUS	GAMMARUS
38	AMMODYTES_TOBIANUS	PYGOSPIO_ELEGANS
39	AMMODYTES_TOBIANUS	MYTILUS_EDULIS
40	AMMODYTES_TOBIANUS	ECROBIA_VENTROSA
41	AMMODYTES_TOBIANUS	DIPTERA
42	AMMODYTES_TOBIANUS	BOSMINA_SPP
43	AMMODYTES_TOBIANUS	CALANOIDA
44	AMMODYTES_TOBIANUS	CERCOPAGIS_PENGOI
45	AMMODYTES_TOBIANUS	CHIRONOMIDAE
46	AMMODYTES_TOBIANUS	CYCLOPOIDA
47	AMMODYTES_TOBIANUS	EVADNE_SP
48	AMMODYTES_TOBIANUS	HARPACTICOIDA
49	AMMODYTES_TOBIANUS	OSTRACODA
50	AMMODYTES_TOBIANUS	PODON_SP
51	AMMODYTES_TOBIANUS	THEODOXUS_FLUVIATILIS
52	AMMODYTES_TOBIANUS	BATHYPOREIA_PILOSA
53	AMMODYTES_TOBIANUS	GAMMARUS_SPP
54	AMMODYTES_TOBIANUS	HYDRACHNIDAE
55	AMMODYTES_TOBIANUS	HYDROBIA_SPP
56	AMMODYTES_TOBIANUS	IDOTEA_SPP
57	AMMODYTES_TOBIANUS	LIMECOLA_BALTHICA
58	AMMODYTES_TOBIANUS	CRANGON_CRANGON
59	AMMODYTES_TOBIANUS	NEOMYSIS_INTEGER
60	AMMODYTES_TOBIANUS	PHYTOPLANKTON
61	AMMODYTES_TOBIANUS	HEDISTE_DIVERSICOLOR
62	AMMODYTES_TOBIANUS	OLIGOCHAETA
63	AMMODYTES_TOBIANUS	RADIX_BALTHICA
64	AMMODYTES_TOBIANUS	AMPHIPODA
65	AMMODYTES_TOBIANUS	BOCCARDIA_SPP
66	AMMODYTES_TOBIANUS	CLADOCERA
67	AMMODYTES_TOBIANUS	COPEPODA
68	AMMODYTES_TOBIANUS	GASTROPODA
69	AMMODYTES_TOBIANUS	INSECTA
70	AMMODYTES_TOBIANUS	MYSIDAE
71	AMMODYTES_TOBIANUS	PISCES
72	AMPHARETE_SP	DETRITUS
73	AMPHIBALANUS_IMPROVISUS	DETRITUS
74	AMPHIBALANUS_IMPROVISUS	MICROALGAE
75	AMPHIBALANUS_IMPROVISUS	PHYTOPLANKTON
76	ARDEA_CINEREA	NEOGOBIUS_MELANOSTOMUS
77	AURELIA_AURITA	ACARTIA_SPP
78	AURELIA_AURITA	BOSMINA_SPP
79	AURELIA_AURITA	CENTROPAGES_HAMATUS
80	AURELIA_AURITA	EURYTEMORA_AFFINIS
81	AURELIA_AURITA	EVADNE_NORDMANNI
82	AURELIA_AURITA	LIMNOCALANUS_MACRURUS
83	AURELIA_AURITA	OITHONA_SIMILIS
84	AURELIA_AURITA	PHYTOPLANKTON
85	AURELIA_AURITA	PODON_SP
86	AURELIA_AURITA	PSEUDOCALANUS_SPP
87	AURELIA_AURITA	SYNCHAETA_SPP
88	AURELIA_AURITA	TEMORA_LONGICORNIS
89	AURELIA_AURITA	KERATELLA_SP
90	BACTERIA	DISSOLVED_ORGANIC_MATTER
91	BATHYPOREIA_PILOSA	DETRITUS
92	BATHYPOREIA_PILOSA	MICROALGAE
93	BATHYPOREIA_PILOSA	PHYTOPLANKTON
94	BELONE_BELONE	DIPTERA
95	BELONE_BELONE	CALANOIDA
96	BELONE_BELONE	CHIRONOMIDAE
97	BELONE_BELONE	CLADOCERA
98	BELONE_BELONE	COPEPODA
99	BELONE_BELONE	HARPACTICOIDA
100	BELONE_BELONE	INSECTA
101	BELONE_BELONE	PISCES
102	BITHYNIA_TENTACULATA	DETRITUS
103	BITHYNIA_TENTACULATA	MICROALGAE
104	BITHYNIA_TENTACULATA	PHYTOPLANKTON
105	BOCCARDIA_SPP	DETRITUS
106	BOCCARDIA_SPP	MICROALGAE
107	BOCCARDIA_SPP	PHYTOPLANKTON
108	BOSMINA_SPP	BACTERIA
109	BOSMINA_SPP	PHYTOPLANKTON
110	BYLGIDES_SARSI	CYCLOPS_SP
111	BYLGIDES_SARSI	DIPTERA
112	BYLGIDES_SARSI	DETRITUS
113	BYLGIDES_SARSI	MONOPOREIA_AFFINIS
114	BYLGIDES_SARSI	PONTOPOREIA_FEMORATA
115	BYLGIDES_SARSI	MONOPOREIA_AFFINIS
116	BYLGIDES_SARSI	OLIGOCHAETA
117	BYLGIDES_SARSI	LIMECOLA_BALTHICA
118	BYLGIDES_SARSI	PONTOPOREIA_FEMORATA
119	BYLGIDES_SARSI	MEIOFAUNA
120	BYLGIDES_SARSI	ROTATORIA
121	BYLGIDES_SARSI	NEMATODA
122	BYLGIDES_SARSI	KINORYNCHA
123	BYLGIDES_SARSI	BYLGIDES_SARSI
124	BYLGIDES_SARSI	CRUSTACEA
125	BYLGIDES_SARSI	CLADOCERA
126	BYLGIDES_SARSI	BOSMINA_SPP
127	BYLGIDES_SARSI	COPEPODA
128	BYLGIDES_SARSI	CALANOIDA
129	BYLGIDES_SARSI	EURYTEMORA
130	BYLGIDES_SARSI	TEMORA
131	BYLGIDES_SARSI	PSEUDOCALANUS
132	BYLGIDES_SARSI	LIMNOCALANUS
133	BYLGIDES_SARSI	ACARTIA_SPP
134	BYLGIDES_SARSI	CYCLOPOIDA
135	BYLGIDES_SARSI	HARPACTICOIDA
136	BYLGIDES_SARSI	ECTINOSOMA
137	BYLGIDES_SARSI	OSTRACODA
138	BYLGIDES_SARSI	MYSIDAE
139	BYLGIDES_SARSI	CHIRONOMIDAE
140	BYLGIDES_SARSI	RADIOSPERMA
141	CALANOIDA	SYNCHAETA_SP
142	CALANOIDA	CYCLOPS_SP
143	CALANOIDA	PHYTOPLANKTON
144	CALANOIDA	CYCLOPOIDA
145	CALLIOPIUS_LAEVIUSCULUS	DETRITUS
146	CALLIOPIUS_LAEVIUSCULUS	MACROALGAE
147	CALLIOPIUS_LAEVIUSCULUS	MICROALGAE
148	CALLIOPIUS_LAEVIUSCULUS	PHYTOPLANKTON
149	CAPITELLA_CAPITATA	PHYTOPLANKTON
150	CAPITELLA_CAPITATA	DETRITUS
151	CENTROPAGES_HAMATUS	PHYTOPLANKTON
152	CEPPHUS_GRYLLE	GASTROPODA
153	CEPPHUS_GRYLLE	AMPHIPODA
154	CEPPHUS_GRYLLE	POLYCHAETA
155	CEPPHUS_GRYLLE	NEREIS_SPP
156	CEPPHUS_GRYLLE	AGONUS_CATAPHRACTUS
157	CEPPHUS_GRYLLE	GADUS_MORHUA
158	CEPPHUS_GRYLLE	GOBIUS_SP
159	CEPPHUS_GRYLLE	ZOARCES_VIVIPARUS
160	CEPPHUS_GRYLLE	SPRATTUS_SPRATTUS
161	CEPPHUS_GRYLLE	AMMODYTES_SPP
162	CERASTODERMA_EDULE	DETRITUS
163	CERASTODERMA_GLAUCUM	DETRITUS
164	CERASTODERMA_GLAUCUM	MICROALGAE
165	CERASTODERMA_GLAUCUM	PHYTOPLANKTON
166	CERATOPOGONIDAE	DIPTERA
167	CERATOPOGONIDAE	CHIRONOMIDAE
168	CERATOPOGONIDAE	TRICHOPTERA
169	CERATOPOGONIDAE	NEMATODA
170	CERATOPOGONIDAE	KERATELLA_SP
171	CERATOPOGONIDAE	CERATOPOGONIDAE
172	CERATOPOGONIDAE	DETRITUS
173	CERATOPOGONIDAE	MICROALGAE
174	CERCOPAGIS_PENGOI	PHYTOPLANKTON
175	CERCOPAGIS_PENGOI	BOSMINA_SPP
176	CERCOPAGIS_PENGOI	CALANOIDA
177	CERCOPAGIS_PENGOI	EVADNE_SP
178	CERCOPAGIS_PENGOI	PODON_SP
179	CHIRONOMIDAE	BACTERIA
180	CHIRONOMIDAE	DETRITUS
181	CHIRONOMIDAE	MICROALGAE
182	CHIRONOMIDAE	MACROALGAE
183	CHIRONOMIDAE	PHYTOPLANKTON
184	CHIRONOMIDAE	OLIGOCHAETA
185	CLANGULA_HYEMALIS	PRIAPULUS_CAUDATUS
186	CLANGULA_HYEMALIS	ECROBIA_VENTROSA
187	CLANGULA_HYEMALIS	GOBIIDAE
188	CLANGULA_HYEMALIS	FISH_EGG
